"","actor_account_id","dt_cnt","con_cnt","log_cnt","char_cnt","exp_amt","exp_mastery_amt","exhaust_cnt","exhaust_pvp_cnt","die_cnt","die_pvp_cnt","quest_cnt","party_join_cnt","party_kick_cnt","guild_join_cnt","guild_withdraw_cnt","teleport_cnt","pve_cnt","pvp_cnt","arena_cnt","lev_max","actor_job","dt_cnt_last","con_cnt_last","log_cnt_last","char_cnt_last","exp_amt_last","exp_mastery_amt_last","exhaust_cnt_last","exhaust_pvp_cnt_last","die_cnt_last","die_pvp_cnt_last","quest_cnt_last","party_join_cnt_last","party_kick_cnt_last","guild_join_cnt_last","guild_withdraw_cnt_last","teleport_cnt_last","pve_cnt_last","pvp_cnt_last","arena_cnt_last","dt_cnt_slope","con_cnt_slope","log_cnt_slope","char_cnt_slope","exp_amt_slope","exp_mastery_amt_slope","exhaust_cnt_slope","exhaust_pvp_cnt_slope","die_cnt_slope","die_pvp_cnt_slope","quest_cnt_slope","party_join_cnt_slope","party_kick_cnt_slope","guild_join_cnt_slope","guild_withdraw_cnt_slope","teleport_cnt_slope","pve_cnt_slope","pvp_cnt_slope","arena_cnt_slope","dt_cnt_cv","con_cnt_cv","log_cnt_cv","char_cnt_cv","exp_amt_cv","exp_mastery_amt_cv","exhaust_cnt_cv","exhaust_pvp_cnt_cv","die_cnt_cv","die_pvp_cnt_cv","quest_cnt_cv","party_join_cnt_cv","party_kick_cnt_cv","guild_join_cnt_cv","guild_withdraw_cnt_cv","teleport_cnt_cv","pve_cnt_cv","pvp_cnt_cv","arena_cnt_cv","churn_yn"
"1","002CC4EC",24,193,39385,4,31160,10055435,162,4,145,53,635,176,0,0,0,91,3719,64,34,50,3,5,38,12042,4,0,3469918,38,2,44,17,201,30,0,0,0,26,1339,19,6,0.299999999994736,-0.0000000000315834578824847,1526.49999994552,0.299999999989472,3115.99999991799,428639.199986639,-1.20000000001842,0.39999999998684,5.09999999975523,3.59999999983419,29.8999999989393,-0.699999999876297,0,0,0,4.39999999981313,228.499999992562,3.29999999983945,-1.70000000002369,0.174304172194599,0.35364847016756,0.516023127718117,0.161094869854461,2.23606797749979,0.622817021647084,0.525278034499421,1.49071198499986,0.632628514057222,1.00704291726438,0.53408225866861,0.352783167989635,0,0,0,0.509429233517205,0.6662880489359,0.918558653543692,1.2302153275204,0
"2","003B1E06",19,176,37423,4,77029,4229266,171,37,114,10,754,148,0,0,0,42,4258,46,10,50,9,3,45,7184,4,0,777266,49,11,36,7,145,18,0,0,0,3,807,25,10,-0.399999999994736,1.39999999986577,-106.899999990498,0.3,-7702.89999939178,-44794.7000023704,1.89999999998684,-0.299999999928937,3.49999999993683,1.09999999995526,3.00000000001316,-4.89999999989209,0,0,0,-1.99999999988419,-20.9999999975048,3.19999999989735,1.99999999992104,0.288275030265877,0.32053471694487,0.146563074285006,0.746894396597954,2.23606797749979,0.32085889751685,0.387819431649093,1.14699015678125,0.476073066328481,1.4142135623731,0.143500753659398,0.315657872669327,0,0,0,0.710353598830516,0.239317096095808,1.0743933114341,2.23606797749979,0
"3","003D42CD",26,102,33900,7,1797006,11180677,141,48,84,28,822,104,0,1,0,157,4518,36,5,50,3,6,39,9929,3,0,7606788,100,47,65,27,157,66,0,1,0,30,1006,34,5,0.999999999989472,6.09999999983419,1227.40000000599,-0.899999999984208,11781.2000038267,1763134.79993402,19.3999999992025,9.49999999962626,12.5999999994894,5.29999999979471,2.70000000150021,12.2999999995815,0,0.199999999992104,0,9.39999999985787,142.400000003093,6.79999999973681,0.999999999960521,0.369911231955218,0.594802849310597,0.624303933346755,0.504608392349582,0.973786124759782,1.44619514849036,1.53178486851187,2.17830408358327,1.77449514076603,2.13764246452077,0.741190746321494,1.26533272199338,0,2.23606797749979,0,0.869499674871195,0.613836736231237,2.08194398117258,2.23606797749979,0
"4","006093EB",34,237,49063,1,0,12847058,177,30,109,2,831,273,0,0,0,85,6208,34,0,50,3,6,28,4513,1,0,1641479,11,1,6,0,81,24,0,0,0,8,456,1,0,-0.199999999992104,-2.09999999994473,-851.899999978004,0.0000000000000000993013661298909,0,-129801.699998753,-7.59999999970259,-0.799999999907881,-2.89999999974206,-0.0999999999921041,-8.99999999974471,-5.09999999985261,0,0,0,0.799999999997368,-152.099999996684,-0.799999999899985,0,0.065766705220582,0.196558866488522,0.276967822924966,0,0,0.19582788957816,0.540327961868885,0.955303115668625,0.803896759540676,2.23606797749979,0.281265548519375,0.271775819907817,0,0,0,0.496655480858378,0.358155034647303,0.928340673594559,0,0
"5","0067CFF2",10,28,4608,3,0,1801082,31,5,27,4,49,12,0,0,0,14,460,9,0,50,2,4,10,122,3,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0.599999999981576,1.7999999999342,21.3999999995105,0.399999999978944,0,0.00000276355352865185,0,0,0,0,0,0,0,0,0,0,2.19999999991315,0,0,1.17260393995586,1.35135926940248,1.305704108464,1.22474487139159,0,2.23606797749979,0,0,0,0,0,0,0,0,0,0,2.23606797749979,0,0,1
"6","00731F6C",5,21,4881,1,0,2862484,21,6,11,3,90,12,0,0,0,21,820,0,0,50,1,3,14,1608,1,0,132946,8,3,4,2,24,9,0,0,0,6,114,0,0,0.799999999971048,3.49999999987103,648.899999978689,0.299999999989472,0,299542.999991766,2.89999999990262,0.899999999968416,1.49999999994999,0.499999999981576,11.3999999996368,2.09999999992104,0,0,0,2.69999999991314,93.3999999972417,0,0,1.4142135623731,1.49071198499986,1.49620552890923,1.36930639376292,0,2.10865120931593,1.43253418633251,1.36930639376292,1.45170176569739,1.49071198499986,1.59861050777091,1.62980060130066,0,0,0,1.5649215928719,1.87184197663286,0,0,0
"7","007C7AEA",29,102,27108,8,0,12753871,117,0,161,31,413,86,0,0,0,86,2514,31,0,50,9,4,14,3146,2,0,929940,15,0,34,0,46,18,0,0,0,8,231,0,0,-0.599999999971048,0.500000000023687,-59.4999999839316,-0.100000000005264,0,-290877.899995112,-1.39999999990525,0,4.09999999990262,-0.29999999997368,-1.49999999970786,1.79999999997105,0,0,0,-1.89999999991578,-7.99999999728118,-0.29999999997368,0,0.224800082938022,0.511004191222256,0.732638758482034,0.380300012060943,0,0.424852093565923,0.255336956570859,0,0.481481481481481,1.66368781412173,0.895714544865638,0.432049379893857,0,0,0,0.576110101278168,1.25405422681733,1.66368781412173,0,0
"8","007DA514",19,25,1352,2,0,1357870,1,0,0,0,13,0,0,0,0,23,172,0,0,50,5,6,7,537,1,0,289380,1,0,0,0,8,0,0,0,0,17,55,0,0,1.69999999996052,1.99999999996052,105.499999998005,0.100000000007896,0,56876.00000058,0.199999999992104,0,0,0,1.49999999995526,0,0,0,0,3.39999999988156,10.8999999998789,0,0,0.798197415163321,0.748331477354788,0.962279954198227,0.707106781186548,0,1.6828668688526,2.23606797749979,0,0,0,1.32119723363982,0,0,0,0,1.6092830889845,1.49399940016046,0,0,1
"9","008285F2",35,231,35585,4,0,9403590,82,17,168,101,514,246,0,0,0,148,2703,108,0,50,3,7,38,5579,1,0,2227347,18,5,8,1,86,35,0,0,0,30,329,5,0,0,-2.3,-586.799999995571,-0.00000000000526407348597599,0,111786.899993238,-3.20000000007896,0.799999999976312,-11.8999999998316,-7.09999999982366,-5.29999999997631,-7.20000000001053,0,0,0,0.599999999986842,-94.4999999984761,-6.9999999998763,0,0,0.183291687171081,0.186156621941535,0.559016994374947,0,0.248899047034541,0.826377769673575,0.812232862067414,0.715663296416334,0.645497224367903,0.161011766258812,0.40295473374187,0,0,0,0.180868733125959,0.344398321125099,0.639135980455089,0,0
"10","00834BCF",26,451,28345,7,17916,7507674,106,4,272,184,470,174,0,0,0,79,1426,185,97,50,6,6,121,6457,6,17916,1636596,12,0,84,77,120,41,0,0,0,11,266,57,31,0.199999999978944,9.19999999913408,658.299999952741,0.1,3583.19999985854,146678.399990547,-1.90000000007369,0,10.3999999992709,13.5999999993236,12.2999999991367,2.69999999974207,0,0,0,-1.10000000007106,46.4999999975154,5.99999999948677,6.19999999969206,0.250738554046256,0.66122087042513,0.65550804012092,0.101430103241697,2.23606797749979,0.352700362537681,0.643490186530223,0,0.860076067168549,1.15470053837925,0.686114325213085,0.605516667167801,0,0,0,0.63309350160639,0.809742519076668,0.866540129181315,0.934340551676973,0
